etymon,root_language,german_meaning (LIV),cognate_sets,reflexes,meanings of reflexes,number of distinct meanings
"*kʷí- ~ *kʷei-, *kʷe-, *kʷó-",Proto-Indo-European,,160 | 242 | 339 | 1107 | 2557 | 2748 | 2937 | 2948 | 7520,,,0
*kʷó-,Proto-Indo-European,,160 | 242 | 339 | 1107 | 2557 | 2748 | 2937 | 2948 | 7520,,,0
*kʷo-,,,160 | 242 | 339 | 1107 | 2557 | 2748 | 2937 | 2948 | 7520,,,0
*kʷi-,,,160 | 242 | 339 | 1107 | 2557 | 2748 | 2937 | 2948 | 7520,,,0
*der-,Proto-Indo-European,,1144 | 1291 | 1537 | 2259 | 4814 | 4841 | 4845 | 7566,udarâ | udaryc′ | deriś | dyrić | udri | udariti | udrieť | udariti | udariti | udariti | uderzyć | udeřit | udarit' | ùderzëc | uderzyć | udeřiti | udárɪtɪ | udrìvam | udrìvam | udariti | vdariti | hól | dérma | dérma | de-ma-si | dérma | dérma | dérma | ḍarnu | ḍaranā | ḍaranā | ḍarnā | dara (*darati) | ḍarana | ḍarnā | ḍarnā | vid′ařa- | vadař′e- | vadiř′e- | vide- | drenny | góla | daḷaṇe,hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | stick | skin | skin | skin | skin | skin | skin | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | bad | forest | grind,7
*gelH-,Proto-Slavic,,1144 | 1291 | 1537 | 2259 | 4814 | 4841 | 4845 | 7566,udarâ | udaryc′ | deriś | dyrić | udri | udariti | udrieť | udariti | udariti | udariti | uderzyć | udeřit | udarit' | ùderzëc | uderzyć | udeřiti | udárɪtɪ | udrìvam | udrìvam | udariti | vdariti | hól | dérma | dérma | de-ma-si | dérma | dérma | dérma | ḍarnu | ḍaranā | ḍaranā | ḍarnā | dara (*darati) | ḍarana | ḍarnā | ḍarnā | vid′ařa- | vadař′e- | vadiř′e- | vide- | drenny | góla | daḷaṇe,hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | stick | skin | skin | skin | skin | skin | skin | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | bad | forest | grind,7
golá,Sorbian: Lower,,1144 | 1291 | 1537 | 2259 | 4814 | 4841 | 4845 | 7566,udarâ | udaryc′ | deriś | dyrić | udri | udariti | udrieť | udariti | udariti | udariti | uderzyć | udeřit | udarit' | ùderzëc | uderzyć | udeřiti | udárɪtɪ | udrìvam | udrìvam | udariti | vdariti | hól | dérma | dérma | de-ma-si | dérma | dérma | dérma | ḍarnu | ḍaranā | ḍaranā | ḍarnā | dara (*darati) | ḍarana | ḍarnā | ḍarnā | vid′ařa- | vadař′e- | vadiř′e- | vide- | drenny | góla | daḷaṇe,hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | stick | skin | skin | skin | skin | skin | skin | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | fear | bad | forest | grind,7
*gʷi̯eh₃-,Proto-Indo-European,,72 | 1919 | 2176 | 2198 | 2238 | 2577 | 5140 | 5536,"živeâ | žyc′ | vivre | zō | jīnā | bí beo | vivere | vive | gyvénti | živee | jiunu | zendegī kardan | viver | žit' | živjeti | jīvat venavā | živeti | vivir | viker | śoṣ | śaiṃ | záō | jīnā | jīnā | zində rozon | žiti | giwīt | dzīvot | uīuere | bi beò | jīv- | vivi | viure | is béo | juuaiti | keam | jīva | jīvati | beuaff, befaff | żyć | žiti | žiť | žít | žiwy być | žywy byś | jūtä | záō | zaivĕ | żëc | zīwēd | dɨžit | žīwēd | bivus | žō | zō | zō | tzī́ō | dzeivuot | vivre | vivre | vivir | bivvire | bívere | jīnā | ǰáandu hóonsa | ve bio | béwã, béw- | biwein, biw- | byw | żyć | byw | žíti | žiti | žɪ́tɪ | živòvam | žuwòwam | žū- | živeti | ẛhivéti | bewa | beua | zo | žūt | vioure | zīweda | viure | zenta darik | žunu asik | zende bidak | zendæ:n | zendegi aku | jwande | ǰan därūg | jidạ | vívar | jiūṇā | ǵiíri | viver | zundu aa | ǰ′üa- | ǰav′e- | ǰẽta ti- | zɨndɨgi a-k(a) | vìf | gyvãtė | viande | vÿanda | vianda | život | žyvot | živìt | zaivăt | kviður | kwið | kviðr | zaivåtăk",live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | live | snake | meat | meat | meat | belly | belly | belly | belly | belly | belly | belly | heart,5
*leu̯k-,Proto-Indo-European,,691 | 739 | 994 | 1783 | 2336 | 2401 | 3845 | 6295,"rūz | raucah | rōz | rož | rōč | rōẓ | rōso | rev | ruz | ruz | ruz | roz | rōč | rož | ṛūž | řo | wraz | ruj | rūž | rōč | lagat | licat, etc. | lagat, laguat | lagad, deulagad | lagad | llygad | llygad | lagas | lagaz | rut | lūna | lusin | lune | luna | luna | lune | lowsin | luna | luna | laună, laină | lowsin | lună | luna | luna | luna | luna | luna | lune | lune | leune | lna | lluna | luna | lua | loi̯na | luna | luna | lúnă | lluna | lua | lüna | leukós | re-u-ko | leukós | vṛug | ẓ′oːk | lauxnos",day | day | day | day | day | day | day | day | day | day | day | day | day | day | day | day | day | day | day | sun | eye | eye | eye | eye | eye | eye | eye | eye | eye | good | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | moon | white | white | white | salt | salt | star,8
*(s)kert-,Proto-Indo-European,,762 | 1594 | 5449 | 6293 | 6846 | 6927 | 8276,kātanā | kāṭnā | kāṭanā | kāṭanā | kāṭanā | kaṭṭṇā | hard | hart | hardher | harður | harður | hard | hård | hard | haart | hard | hård | hurd | hert | herti | herte | heard | hard | hart | harðr | hardus | hard | kartùs | kārtai | kyrteis | karotkì | krátký | krotki | krótki | kratok | krótki | korotkij | kratak | krátky | kratek | korotkij | kratŭkŭ | korťĕ | krótczi | krótki | krátký | korotkyi | korótkωj | kratek | kratek,bite | bite | bite | bite | bite | bite | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | hard | bitter | bitter | hit | short | short | short | short | short | short | short | short | short | short | short | short | short | short | short | short | short | short | short | short,5
*pleu̯-,,,222 | 662 | 919 | 1181 | 1226 | 2504 | 2652,lowal | lvanal | plénō | lowanam | plynnískō | plénō | plyníškō | plýnō | pluja | pluie | pioggia | plovei | próere | lluvia | ploûre | pluuia | ploie | chuva | ploaie | pluie | pluie | plozhe | lluvia | chiovere | pluia | plo̯ái̯ă | pluja | plovaja | chuva | piöva | pluvam | plavac′ | plavat | plěś | płuwać | pliva | pływać | plyt' | plivati | plávať | plavati | plavati | plu- | plavati | pilavati/palavati | pīnanavā | plajĕ | płiwac | pléfō | pływać | plúti | priplyvati | plávatɪ | plavèm | plàw′a | plavati | plavati | pluṣäṃ | pluṣ* | fo·luathar | Fluss | Floss | Fluss | fluz | vluz,wash | wash | wash | wash | wash | wash | wash | wash | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | fly_V | fly_V | fly_V | river | river | river | river | river,5
*pleh₃-,Proto-Indo-European,,222 | 662 | 919 | 1181 | 1226 | 2504 | 2652,lowal | lvanal | plénō | lowanam | plynnískō | plénō | plyníškō | plýnō | pluja | pluie | pioggia | plovei | próere | lluvia | ploûre | pluuia | ploie | chuva | ploaie | pluie | pluie | plozhe | lluvia | chiovere | pluia | plo̯ái̯ă | pluja | plovaja | chuva | piöva | pluvam | plavac′ | plavat | plěś | płuwać | pliva | pływać | plyt' | plivati | plávať | plavati | plavati | plu- | plavati | pilavati/palavati | pīnanavā | plajĕ | płiwac | pléfō | pływać | plúti | priplyvati | plávatɪ | plavèm | plàw′a | plavati | plavati | pluṣäṃ | pluṣ* | fo·luathar | Fluss | Floss | Fluss | fluz | vluz,wash | wash | wash | wash | wash | wash | wash | wash | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | rain | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | fly_V | fly_V | fly_V | river | river | river | river | river,5
*gʷʰer-,Proto-Indo-European,,333 | 396 | 2243 | 2299 | 3104 | 3850 | 6086,"ngrohtë | varm | warm | warm | waarm | warm | garm | varm | varm | thermós | germ | waarm | garəma | qarm | ǧar | nxehtë | ǰerm | varmber | warm | grāmä | thermós* | garm | garm | thermós | garm | ɣarm | warm | γarm | garm | ngrohitë | γarmand | garma | varm | uuarm | uuarm | warm | waerm | warm | garm | garm | garm | garm | garm | zjarr | zjarr | zjarr | gorâ | gorjeti | goreti | gori | gorěti | goret' | garec′ | gorìti | horieť | hořet | ďöri-să | gorzeć, goreć | hořěti | gorěti | ɣọr′ítɪ | gurì | gurì | goreti | goreti | grian | grian | grían | grian | gâǰ′âr | gaǰǰ′or | garǰ′or | garas′âːr | ďörťă | gòrzczi | gorĭkŭ | gorzki | góŕki | hórki | grenek | hořký | horký | gìrkij | gorkì | gor'kij | gorčliv | gorčiv | gorak | gorzki, gorki | hořký | ɣïrkώj | gurčìf | gurčìf | grenek | grenîak",hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | hot | fire | fire | fire | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | burn | sun | sun | sun | sun | day | day | day | day | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter | bitter,6
*tekʷ-,Proto-Indo-European,,15 | 1881 | 3066 | 3259 | 5199 | 5249 | 5252,ratlal | oteći | otéct | oteče | otičam | oteči | zaćekać | ociec | otéci | oteči | otezhi | otočiť | otočit | tæxyn | tæxun | teči | t′èka | teči | tezhi | nätā | cake | tago,come | swell | swell | swell | swell | swell | swell | swell | swell | swell | swell | turn | turn | fly_V | fly_V | run | run | run | run | river | river | river,6
*h₁enter-,Proto-Indo-European,,424 | 1232 | 1588 | 1933 | 2535 | 2540 | 2754,"játra | jětša | jatra | wątroba | jetra | jetra | jętrĭce | jǫtră | wątroba | ataḍī | wątroba, jętry | játry | jetra | jetre | andets | wutšoba | wutroba",liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | heart | heart,2
*en,,,424 | 1232 | 1588 | 1933 | 2535 | 2540 | 2754,"játra | jětša | jatra | wątroba | jetra | jetra | jętrĭce | jǫtră | wątroba | ataḍī | wątroba, jętry | játry | jetra | jetre | andets | wutšoba | wutroba",liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | liver | heart | heart,2
*gʷʰen-,Proto-Indo-European,,1298 | 1935 | 1998 | 3551 | 5193 | 6606 | 8806,honić | góńtwowaś | zeydak | wogon | ogon | ògón | ogon | zadan | hānnu | jaiṇti | abhihanati | zanēd | žanēd | han- | zin | zeydak | bẓēna | mize | azen | zande | ǰant | mezane | hantaau | jaiṇti | aja | han- | kue(n)- / kun- | jsīndä | ōzanēd | ōžanēd | wajal | wāzaneda | o-žni- | ǰâň′a- | ǰaň′e- | ǰâř′e- | ẓẫ- | gnaś | wangetaau,hunt | hunt | hunt | tail | tail | tail | tail | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | hit | kill | kill | kill | kill | kill | kill | kill | kill | kill | kill | kill | kill | kill | kill | run | throw,6
*k̑o- ~ *k̑i-,Proto-Indo-European,,235 | 239 | 1384 | 2435 | 2441 | 2682 | 3008,,,0
*(h₁)e-k̑e(i̯),Proto-Indo-European,,235 | 239 | 1384 | 2435 | 2441 | 2682 | 3008,,,0
*k̑í- ~ *k̑ó-,Proto-Indo-European,,235 | 239 | 1384 | 2435 | 2441 | 2682 | 3008,,,0
*h₃reg̑-,Proto-Indo-European,,275 | 276 | 312 | 2294 | 7428 | 9662 | 9777,"dret | rechts | right | regtsch | droit | rechts | dret | rāst | direito | derecho | dreûte | riets | dret | drept | drai | derecho | rāstī | rjochter | rächt | diréptu | dret | rāst | dæsse rɒs | rās | dasse rāst | dasi rās | dase rās | rāste dast | dasī řās | ṛās | rạs | reht | recht | wurzg | direito | rās | recte | recht | recht | droit | rjocht | dritto | endret | direito | rett | derettu | derettu | rak | dreût | r̥jú- | riicht | rectus | díreach | dìreach | dret | recto | díriuch | rast | rast | ərəzu | rätter | rett | uj(j)u | rraṣṭä | rāst | rāšt | drept | reritto | droit | dreit | drai | recto | jeeragh | razk | diréptu | drech | dret | rāst | rāst | rɒs | rāst | rāst | rast | rās | ṛās | řāst | raci | drat | reht | reht | riht | recht | reht | raihts | rett | direito | iiǰə | rās | drìs | adinavā | stà all'erta | se tener drech, dreit",right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | right | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | straight | pull | stand | stand,4
*peu(-t)-,Proto-Indo-European,,4148 | 4948 | 4981 | 6563 | 7585 | 8525,"pušek | wopuš | våpaus, våpois | puhnuc′ | puhnut' | puchnąć | puhnuti | puchnúť | opuchnout | podpuhvam | pùchnąc | puchnąć | puxlώj | pich",smoke | tail | tail | swell | swell | swell | swell | swell | swell | swell | swell | swell | swell | dust,4
*peu̯s-,Proto-Indo-European,,4148 | 4948 | 4981 | 6563 | 7585 | 8525,"pušek | wopuš | våpaus, våpois | puhnuc′ | puhnut' | puchnąć | puhnuti | puchnúť | opuchnout | podpuhvam | pùchnąc | puchnąć | puxlώj | pich",smoke | tail | tail | swell | swell | swell | swell | swell | swell | swell | swell | swell | swell | dust,4
*gʰrebh₂-,Proto-Indo-European,,3547 | 4092 | 5227 | 7015 | 7186 | 9186,ɣirív- | γǝrβti | beir greim | greim | gīrēd | werdgɨrit | grabh(i)- | gereftan | ghína | gheṇe | gannavā | gaṇhati/gaṇhāti | ganik | goik | gərəβnāiti | gīt | agrıt | garne | ʋạyre | agere | angere | magēro | xafeda | diga | ginūg | agṛbāya | guretaau | g′âa- | g′âa- | ghiní bíi | gaaik | dɨhelgɨrit | guretaau | g′âa- | g′âa- | migere,know | know | bite | bite | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | take | carry | carry | carry | carry | carry | carry | hunt,5
*sed-,Proto-Indo-European,,294 | 1216 | 2486 | 2846 | 5137 | 5213,"sedâ | sâdzec′ | seure | sedět | sidde | zitten | sit | sita | zitten | être assis | sitte | sitzen | sitja | bí ina shuí | essere seduto | sté senté | sėdė́ti | sejźeś | sedźeć | sedi | siedzieć | estar sentado | sitte | sidet' | sézzere | sézzere | sjediti | sedieť | sedeti | estar sentado | sitta | sidìti | assîr | sedēre | sěděti | sēdēt | syndens | suidh | sëtzen | ṣmäṣ | ṣamäṃ | nstel | nstel | saidid | nstim | soie | sed- | sittja | sitia | nisīdati | asezaff ? / bezaff asezet | nuzd | sedĕ | sedzec | nišīδēd | nišīyēd | drinit | nešastan | badyn | badun | sersitu | sēdēt | a şedea | nīd- | kathénnō | seder, seyer, seer | sëoir | seer | aseżã, aseż- (sit down), beżã aseżed, en e gwaseż (be sitting) | aseż, aseż-, boud aseżed | ista | stâ sentât | siedzieć | eisted | seděti | sěděti | sɪd′ítɪ | s′ḁdìm | s′ä̀d′a | sedeti | ſedéti | stà assettato | étr' achtâ | sitze | asentar | nešastak | nīštanara | nīδt | nīϑeda | seure | nište | nešta | āništi | dā anišıt | nīštıga | nišik | nišik | naast | ani ≠ šas | tanya | şide̯ári | seduọr | sizzen | naleest | sitta | sitzen | sittan | sittian | sitten | sitja | sitan | ysethe, setha | sedha | estar sentado | šil- | niik aa | ǰ′e- | niš′e- | naš′e- | niše- | dā a-niš-ē | vès sedü | sitte/sitje | āsā | āhā | ṭhelnu | tallu karanavā | ṭhelā | ṭhelā | ṭhelaik | sodĕvaină | sad | sad | sadavìna | sadje | sadovɪná | sadje | ſad | odi | xòd′ḁ | xòždam",sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | come | come | push | push | push | push | push | fruit | fruit | fruit | fruit | fruit | fruit | fruit | fruit | go | go | go,5
*ṭheḍḍ-,Indic,,294 | 1216 | 2486 | 2846 | 5137 | 5213,"sedâ | sâdzec′ | seure | sedět | sidde | zitten | sit | sita | zitten | être assis | sitte | sitzen | sitja | bí ina shuí | essere seduto | sté senté | sėdė́ti | sejźeś | sedźeć | sedi | siedzieć | estar sentado | sitte | sidet' | sézzere | sézzere | sjediti | sedieť | sedeti | estar sentado | sitta | sidìti | assîr | sedēre | sěděti | sēdēt | syndens | suidh | sëtzen | ṣmäṣ | ṣamäṃ | nstel | nstel | saidid | nstim | soie | sed- | sittja | sitia | nisīdati | asezaff ? / bezaff asezet | nuzd | sedĕ | sedzec | nišīδēd | nišīyēd | drinit | nešastan | badyn | badun | sersitu | sēdēt | a şedea | nīd- | kathénnō | seder, seyer, seer | sëoir | seer | aseżã, aseż- (sit down), beżã aseżed, en e gwaseż (be sitting) | aseż, aseż-, boud aseżed | ista | stâ sentât | siedzieć | eisted | seděti | sěděti | sɪd′ítɪ | s′ḁdìm | s′ä̀d′a | sedeti | ſedéti | stà assettato | étr' achtâ | sitze | asentar | nešastak | nīštanara | nīδt | nīϑeda | seure | nište | nešta | āništi | dā anišıt | nīštıga | nišik | nišik | naast | ani ≠ šas | tanya | şide̯ári | seduọr | sizzen | naleest | sitta | sitzen | sittan | sittian | sitten | sitja | sitan | ysethe, setha | sedha | estar sentado | šil- | niik aa | ǰ′e- | niš′e- | naš′e- | niše- | dā a-niš-ē | vès sedü | sitte/sitje | āsā | āhā | ṭhelnu | tallu karanavā | ṭhelā | ṭhelā | ṭhelaik | sodĕvaină | sad | sad | sadavìna | sadje | sadovɪná | sadje | ſad | odi | xòd′ḁ | xòždam",sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | sit | come | come | push | push | push | push | push | fruit | fruit | fruit | fruit | fruit | fruit | fruit | fruit | go | go | go,5
*ped-,Proto-Indo-European,,225 | 1126 | 2783 | 6813 | 8225 | 9252,"otkʿ | otkʿ | pā | peu | fod | voet | foot | fótur | voet | pied | foet | Fuß | pódi | fótur | piede | pe | pāya | pā | pé | pe | pe | paya | fot | pʉð | pî | pāt- / pat-, pata- | pe | paiyye | poús | pā́t | pēs | Fouss | pair | pē | pît | pad | otn | pāda | pedú | peři | pāta-, pad(i)- | fot | foter | fuot | pāda (pādo) | po-de | pai | poús | pāy | pāδ | póin | pódi | póda(s), podári(n) | pair | pîdár | pié | pé | pi | pie | picior | pere | pṓda | pāvn | pām̐va | pā | pā | palo | Fuess | pā | pāδ | pɒ | pā | pād | pe | ped | pičór | pāδa | peu | pā | pạ | pair | pe | pong | pič | pins | fuoz | pedh | fōt | vuoz | fōt | fôt | voet | fótr | fotus | pie | fot | pé | pè | padna | upascì | padnuś | padnyć | padne | spaść | upast' | pasti | padnúť | pasti | pasti | pad- | pasti | padnout | padnąc | paść | pásti, padnúti | pástɪ | pànam | pàdna | pasti | paſti | paiδiiāite | -nǰi- | pʉð | pā | pódi | pā | pāya | otkʿ | pair | fótur | fuot | pāy | póin | póda(s), podári(n) | pódi | pîdár | picior | pā | foet | pṓda | pā | pā | pɒ | pā | pād | pe | pičór | pāδa | panddai | pē | pā | pạ | pāδi | fótr | źâm·p′o | pā | stare in piedi | ficar em/de pé | estar de pie | èsse so pî | stâ in pîts | estar de pie | a sta în picioare | estar de peu | sté empé | estar dempeus | stuọr in pins | ficar em/de pé | stàa in pé | dnɨvit",foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | foot | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | fall | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | leg | stand | stand | stand | stand | stand | stand | stand | stand | stand | stand | stand | stand | stand | sleep,5
*h₃er-,Proto-Indo-European,,444 | 1509 | 4903 | 5393 | 5410 | 8842,ri | ri | i ri | óros | o-ṛẹ-i | óros | órnis | o-ni-ti-ja-pi | órneon | órnö(n) | ḫaršar / ḫaršn- | ar- | hamaranam akunauš,new | new | new | mountain | mountain | mountain | bird | bird | bird | bird | head | stand | fight,6
*k̑eh₂u̯-,Proto-Indo-European,,1461 | 2234 | 5455 | 6235 | 8281 | 8428,kaíō | kaíomai | ke-ka-u-me-no | kaíomai | tšaíō | kaí(g)ō | káfkō | káfto | koṃ | kauṃ | koṃ | kauṃ | kamoulía | thatë | thatë | i thatë | i thatë,burn | burn | burn | burn | burn | burn | burn | burn | day | day | sun | sun | fog | dry | dry | dry | hard,6
?*h₂enh₁-,Proto-Indo-European,,625 | 849 | 860 | 1566 | 2045 | 6700,"ånde | anda | anda | análaigh | andas | tarraing anail | an(i)- | do·beir anál | anāṣṣäṃ | anda | andas | tennaff e alazn | *uysan | anadlu | tennein, tenn- i anal | tayrn ennal | dialanĩ | anadyly | anella | anal | halenar, alenar | alenar | ēþian | anda | anan | ánemos | a-ne-mo | ánemos | ánomos | inimă | íńima",breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | wind | wind | wind | wind | heart | heart,3
*h₂enh₁-,,,625 | 849 | 860 | 1566 | 2045 | 6700,"ånde | anda | anda | análaigh | andas | tarraing anail | an(i)- | do·beir anál | anāṣṣäṃ | anda | andas | tennaff e alazn | *uysan | anadlu | tennein, tenn- i anal | tayrn ennal | dialanĩ | anadyly | anella | anal | halenar, alenar | alenar | ēþian | anda | anan | ánemos | a-ne-mo | ánemos | ánomos | inimă | íńima",breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | wind | wind | wind | wind | heart | heart,3
anima,Latin,,625 | 849 | 860 | 1566 | 2045 | 6700,"ånde | anda | anda | análaigh | andas | tarraing anail | an(i)- | do·beir anál | anāṣṣäṃ | anda | andas | tennaff e alazn | *uysan | anadlu | tennein, tenn- i anal | tayrn ennal | dialanĩ | anadyly | anella | anal | halenar, alenar | alenar | ēþian | anda | anan | ánemos | a-ne-mo | ánemos | ánomos | inimă | íńima",breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | breathe | wind | wind | wind | wind | heart | heart,3
*(s)neh₂-,Proto-Indo-European,,535 | 1003 | 1005 | 3079 | 3084 | 7179,"snámh | nuotare | nodé | šenā kardan | nadar | nadare | natare | nadar | nager | noyî | nāre | néō | nāṣṣäṃ | nadâ | nedar | snaue | snaïd | nakæ kænun | neuff, neuf, neu | išnāzēd | snāčēd | a înota | natà | noër | noer | nazhi | nadar | snàmh | neuñviñ, neuñv- | nañwal, nañw- | nofio | nofy- | nadar | (a)ṣ̌nowariɣ̌ x̌ak | nedar | šeno konde | ʃenow miko | ešnow aku | šnāw tka | āšnāha kant | šenā miyare | šınā kaē | usneek | nyge | nyidzha, nijah | nadar | sāneṭä dǟg | nadàa | nigal, nigàl | neijal, neij- | nijal, nij- | nyge | neidga | snā- | wʉzd(ʉ)y | æxsyn | æxsnun | snaiiāite | ysänājä | sinṓy- | snāyt | ǝsnā | znud | nahāuṇā | æfsnajun",swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | swim | fly_V | fly_V | fly_V | fly_V | fly_V | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | hide,4
*dʰerg̑ʰ-,Proto-Indo-European,,660 | 2839 | 5027 | 5330 | 5824 | 5909,daṙjnel | daṙnal | daṙnam | draga | draga | dra | drågå | dragha | dra | draga | dra | tréchō | tréchō | tréchō | tréchō | tréchō | tréx(n)o | tragen | dragen | droen | dragen | drage | trage | drega | tragen | draghen | dragan | tréchō,turn | turn | turn | pull | pull | pull | pull | pull | pull | pull | pull | run | run | run | run | run | run | carry | carry | carry | carry | carry | carry | carry | carry | carry | carry | hunt,5
